model,rmse,mae,r2
random_forest,0.04403006802167648,0.004348860040821521,0.9980992143848837
ridge_regression,0.008576145050135106,0.005847635446518464,0.9999278861538062
linear_regression,1.3640787364054948e-14,1.0995932297085327e-14,1.0
elastic_net,0.7617478814436887,0.6254220292939543,0.43107249036934725
svr,0.21017335715238242,0.15266584441064945,0.956689844142324
xgboost,5.026054297434451e-05,2.2796972483981967e-05,0.9999999975232123
lightgbm,0.03348019717707232,0.01168169335222223,0.9989009677464968
gradient_boosting,0.06106922781330685,0.004333849157200452,0.996343384624502
catboost,0.024548718133848468,0.009082566783876256,0.9994091298335499
